dataset,tag,arm,model,regime,medae,hit3,hit3_lo,bin_floor,smooth_floor,R12,R12_bin_floor,R12_smooth_floor,R23,R23_lo,R23_bin_floor,R23_smooth_floor,R13_smooth_floor,hit1_smooth_floor,excess_bin,excess_smooth,R23_excess_smooth,R12_excess_smooth
esol,grok45,t1024r,Grok 4.5,heavy,0.22,14.1414,10.8586,1.8609,1.4824,35.7143,20.6504,20.1023,62.2222,52.5253,15.3048,10.9533,2.2019,67.3254,7.5992,9.5395,5.6807,1.7766
esol,haiku45,reg,Claude Haiku 4.5,untestable,0.72,0.7538,0.0,0.2505,0.4812,10.084,8.143,13.2124,25.0,0.0,10.7497,10.6448,1.4064,34.2111,3.0092,1.5666,2.3486,0.7632
esol,haiku45,t1024,Claude Haiku 4.5,untestable,0.885,0.5291,0.0,0.2011,0.3844,13.0435,10.4273,12.3833,16.6667,0.0,8.3708,10.5846,1.3107,29.3291,2.631,1.3764,1.5746,1.0533
esol,kimik3,reg,Kimi K3,untestable,0.5725,0.7538,0.0,0.5431,0.5427,9.1503,12.1786,13.7772,21.4286,0.0,12.1268,9.8608,1.3585,39.9485,1.388,1.3889,2.1731,0.6642
esol,kimik3,t1024,Kimi K3,heavy,0.262,7.5567,5.0378,1.0344,1.2588,34.5679,19.9268,18.0016,35.7143,24.7176,9.3329,11.2156,2.019,62.348,7.3054,6.0031,3.1843,1.9203
esol,kimik3,t1024r,Kimi K3,heavy,0.26,9.3199,6.5491,1.3128,1.3367,35.2697,18.7835,18.5519,43.5294,32.5294,12.3013,11.4779,2.1294,62.7739,7.0993,6.9724,3.7925,1.9011
esol,llama4mav,reg,Llama 4 Maverick,clean,0.64,1.005,0.2513,0.7075,0.5603,11.9718,13.7894,13.7655,23.5294,5.5417,14.0872,10.9555,1.5081,37.1533,1.4205,1.7937,2.1477,0.8697
esol,llama4mav,t1024,Llama 4 Maverick,clean,0.6415,1.005,0.0,0.4381,0.5691,11.6788,10.8185,13.3136,25.0,0.0,11.3064,11.4568,1.5253,37.3103,2.294,1.766,2.1821,0.8772
esol,luna,reg,GPT-5.6 luna,clean,0.53,0.5025,0.0,0.5972,0.6633,13.9073,13.9141,14.3126,9.5238,0.0,11.6138,11.0023,1.5747,42.1231,0.8414,0.7576,0.8656,0.9717
esol,luna,t1024,GPT-5.6 luna,heavy,0.52,4.7739,3.0151,0.7487,0.6658,24.3386,17.6401,14.1102,41.3043,27.6596,10.0698,10.989,1.5506,42.941,6.3763,7.1699,3.7587,1.7249
esol,minimaxm3,reg,MiniMax M3,clean,0.56,0.7576,0.0,0.5567,0.6005,15.8537,12.2152,14.0563,11.5385,0.0,11.2661,10.4003,1.4619,41.0766,1.3609,1.2616,1.1094,1.1279
esol,minimaxm3,t1024,MiniMax M3,heavy,0.45,4.3928,2.3256,0.6886,0.7588,21.0227,15.7846,14.7095,45.9459,29.7272,9.5689,10.9639,1.6127,47.0503,6.3793,5.7892,4.1907,1.4292
esol,mistrall,reg,Mistral Large 2512,clean,0.74,1.005,0.2513,0.3888,0.4761,13.2353,10.2668,12.5296,22.2222,4.7565,10.9087,11.3541,1.4226,33.4686,2.5849,2.1108,1.9572,1.0563
esol,mistrall,t1024,Mistral Large 2512,clean,0.7595,1.005,0.2513,0.4152,0.4322,12.782,10.4244,12.887,23.5294,6.25,11.6927,10.1028,1.3019,33.1935,2.4205,2.3255,2.329,0.9919
esol,opus5,reg,Claude Opus 5,heavy,0.18,27.1357,22.8643,1.7991,1.8832,53.937,24.8901,22.037,78.8321,71.4261,12.9414,11.7864,2.5974,72.5025,15.0829,14.4096,6.6884,2.4476
esol,opus5,t1024,Claude Opus 5,heavy,0.0,62.0603,57.0352,3.0187,97.2362,80.597,32.1084,97.4811,91.4815,88.015,13.113,100.0,97.4811,99.7487,20.5586,0.6382,0.9148,0.8268
