dataset,tag,hit3_lo,hit3_all_lo,R12_lo,R23_lo,m1_lo,m2_lo,m3_lo,n_usable_lo,regime_lo,verdict_lo,spearman_lo,medae_lo,think_lo,cost_lo,floor_R12_lo,floor_R23_lo,hit3_hi,hit3_all_hi,R12_hi,R23_hi,m1_hi,m2_hi,m3_hi,n_usable_hi,regime_hi,verdict_hi,spearman_hi,medae_hi,think_hi,cost_hi,floor_R12_hi,floor_R23_hi,model,d_hit3,d_R23,d_rho,d_medae,flag_lo,flag_hi,crossed
antiviral,mistrall,0.0,0.0,8.6538,0.0,104,9,0,458,clean,clean,0.2196,1.21,0.0,0.0263,14.685185,11.678801,0.0,0.0,8.8235,0.0,102,9,0,458,clean,clean,0.2333,1.16,0.0,0.0254,14.685185,11.678801,Mistral Large 2512,0.0,0.0,0.013700000000000018,-0.050000000000000044,False,False,False
antiviral,opus5,0.655,0.6,13.0682,13.0435,176,23,3,458,clean,clean,0.5713,0.625,0.0,0.741,14.685185,11.678801,0.2183,0.2,12.7168,4.5455,173,22,1,458,clean,clean,0.5484,0.61,47.0,1.5687,14.685185,11.678801,Claude Opus 5,-0.43670000000000003,-8.498000000000001,-0.02290000000000003,-0.015000000000000013,False,False,False
antiviral,qwen3,0.0,0.0,6.4935,0.0,77,5,0,458,clean,clean,0.1103,1.595,0.0,0.0147,14.685185,11.678801,0.4367,0.4,12.0482,20.0,83,10,2,458,clean,clean,0.0394,1.56,0.0,0.0151,14.685185,11.678801,Qwen3-235B,0.4367,20.0,-0.07089999999999999,-0.03499999999999992,False,False,False
antiviral,sol,0.0,0.0,7.1942,0.0,139,10,0,458,clean,clean,0.5112,0.81,0.0,0.2726,14.685185,11.678801,0.4367,0.4,11.25,11.1111,160,18,2,458,clean,clean,0.4352,0.75,464.5,4.5841,14.685185,11.678801,GPT-5.6 sol,0.4367,11.1111,-0.07600000000000001,-0.06000000000000005,False,False,False
antiviral,sonnet5,0.0,0.0,8.4848,0.0,165,14,0,458,clean,clean,0.53,0.69,0.0,0.2964,14.685185,11.678801,0.0,0.0,8.642,0.0,162,14,0,458,clean,clean,0.5311,0.705,0.0,0.2964,14.685185,11.678801,Claude Sonnet 5,0.0,0.0,0.0010999999999999899,0.015000000000000013,False,False,False
antiviral,terra,0.0,0.0,10.5263,0.0,171,18,0,458,clean,clean,0.5212,0.69,0.0,0.0545,14.685185,11.678801,0.4367,0.4,8.284,14.2857,169,14,2,458,clean,clean,0.5123,0.68,516.0,1.2929,14.685185,11.678801,GPT-5.6 terra,0.4367,14.2857,-0.008900000000000019,-0.009999999999999898,False,False,False
aqsoldb,gem25pro,1.0661,1.0,12.5874,27.7778,143,18,5,469,clean,clean,0.8707,0.6216,955.5,2.4699,12.139468,11.034906,0.4274,0.4008,11.0345,12.5,145,16,2,468,clean,clean,0.8652,0.6928,777.5,1.9966,12.139468,11.034906,Gemini 2.5 Pro,-0.6387,-15.2778,-0.00550000000000006,0.07119999999999993,False,False,False
aqsoldb,gem31flashlite,0.4264,0.4,14.6341,11.1111,123,18,2,469,clean,clean,0.8178,0.701,0.0,0.0115,12.139468,11.034906,1.7058,1.6,12.2807,38.0952,171,21,8,469,trace,contaminated,0.8851,0.5345,762.0,0.2986,12.139468,11.034906,Gemini 3.1 Flash-Lite,1.2793999999999999,26.984099999999998,0.06730000000000003,-0.16649999999999998,False,True,True
aqsoldb,gem31pro,4.9041,4.6,24.2424,47.9167,198,48,23,469,partial,contaminated,0.903,0.4591,268.0,0.9444,12.139468,11.034906,5.9701,5.6,29.5337,49.1228,193,57,28,469,partial,contaminated,0.8953,0.447,489.0,1.737,12.139468,11.034906,Gemini 3.1 Pro,1.0660000000000007,1.2060999999999993,-0.00770000000000004,-0.0121,True,True,False
aqsoldb,gem35flash,0.0,0.0,12.963,0.0,162,21,0,469,clean,clean,0.8659,0.5262,0.0,0.0688,12.139468,11.034906,7.8891,7.4,35.9091,46.8354,220,79,37,469,partial,contaminated,0.9252,0.3611,596.5,1.5021,12.139468,11.034906,Gemini 3.5 Flash,7.8891,46.8354,0.05930000000000002,-0.16510000000000002,False,True,True
aqsoldb,gem36flash,0.4264,0.4,13.7255,9.5238,153,21,2,469,clean,clean,0.8463,0.5868,0.0,0.0663,12.139468,11.034906,4.4776,4.2,24.0,43.75,200,48,21,469,partial,contaminated,0.9025,0.4,503.5,1.2709,12.139468,11.034906,Gemini 3.6 Flash,4.0512,34.2262,0.05619999999999992,-0.18679999999999997,False,True,True
