dataset,tag,model,level,n_mol,n_calls,parsed,reasoning_med,reasoning_mean,cost,hit1,hit2,hit3,floor,p_hit,R23,m2,m3,n_usable,medae,spearman,selfcons
ld50,gem3flash,Gemini 3 Flash,low,60,180,100.0,909.5,907.2833,0.2547,82.2222,46.6667,35.0,4.7039,0.0005,76.8293,82,63,180,0.07,0.7774,30.0
ld50,gem3flash,Gemini 3 Flash,medium,60,180,100.0,3096.0,3295.9111,0.8986,84.9162,59.2179,43.0168,7.5358,0.0005,76.2376,101,77,179,0.046,0.8539,38.3333
ld50,gem3flash,Gemini 3 Flash,high,60,180,100.0,6265.0,6974.4556,1.8924,79.8883,55.8659,44.1341,8.455,0.0005,82.2917,96,79,179,0.043,0.8519,41.6667
ld50,gpt55,GPT-5.5,none,60,120,100.0,0.0,0.0,0.0597,53.4483,5.1724,0.8621,0.0,0.0005,25.0,4,1,116,0.502,0.1468,3.3333
ld50,gpt55,GPT-5.5,minimal,60,120,100.0,516.0,543.4333,1.0413,65.4206,28.972,19.6262,4.6935,0.0005,70.0,30,21,107,0.188,0.6983,30.0
ld50,gpt55,GPT-5.5,low,60,120,100.0,516.0,530.775,1.0184,74.5283,36.7925,19.8113,5.0208,0.0005,58.3333,36,21,106,0.1485,0.7409,25.0
ld50,gpt55,GPT-5.5,medium,60,120,100.0,2065.5,2091.0833,3.8271,68.4685,33.3333,25.2252,4.4928,0.0005,75.6757,37,28,111,0.1655,0.6937,33.3333
ld50,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.2321,55.8282,4.2945,0.6135,0.0,0.0005,14.2857,7,1,163,0.4805,0.3363,13.3333
ld50,opus5,Claude Opus 5,minimal,60,180,100.0,0.0,20.4056,0.3239,74.1497,16.3265,9.5238,1.8231,0.0005,58.3333,24,14,147,0.3255,0.5782,15.0
ld50,opus5,Claude Opus 5,low,60,180,100.0,0.0,24.6944,0.3432,63.3803,15.493,9.1549,2.1412,0.0005,59.0909,22,13,142,0.335,0.5664,18.3333
ld50,opus5,Claude Opus 5,medium,60,180,100.0,86.0,90.55,0.6395,70.7692,16.9231,7.6923,0.0,0.0005,45.4545,22,10,130,0.242,0.6197,10.0
ld50,opus5,Claude Opus 5,high,60,180,100.0,122.0,128.2111,0.809,69.7183,18.3099,9.1549,0.7007,0.0005,52.0,25,13,142,0.207,0.7087,5.0
lipophilicity,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0044,29.8077,3.8462,1.9231,0.0,0.0005,66.6667,3,2,104,1.095,0.2722,0.0
lipophilicity,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0044,27.8846,6.7308,1.9231,0.0,0.0005,33.3333,6,2,104,1.08,0.2918,0.0
lipophilicity,gem31flashlite,Gemini 3.1 Flash-Lite,low,51,148,100.0,145.0,149.7568,0.0202,28.9157,2.4096,0.0,0.0,1.0,0.0,1,0,83,0.965,0.3114,2.0408
lipophilicity,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,852.5,840.4722,0.1178,34.7368,7.3684,0.0,1.0526,1.0,0.0,6,0,95,0.855,0.3651,5.0
lipophilicity,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,2292.5,2441.5056,0.334,39.7727,7.9545,0.0,1.1364,1.0,0.0,6,0,88,0.795,0.329,3.3333
lipophilicity,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0262,39.0,7.0,0.0,0.0,1.0,0.0,7,0,100,0.84,0.3449,0.0
lipophilicity,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,734.5,756.9611,0.639,45.0,12.5,0.0,0.0,1.0,0.0,5,0,40,0.74,0.6452,5.0
lipophilicity,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,2871.5,3350.2333,2.7393,80.0,20.0,0.0,0.0,1.0,0.0,2,0,10,0.6,0.6639,1.6667
lipophilicity,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,4225.5,5160.1,4.2053,64.2857,21.4286,0.0,0.0,1.0,0.0,3,0,14,0.765,0.6493,5.0
lipophilicity,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,42.6611,0.0203,34.2593,2.7778,0.9259,0.9259,1.0,50.0,2,1,108,0.87,0.3303,1.6667
lipophilicity,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0087,43.9252,4.6729,1.8692,0.0,0.0005,50.0,4,2,107,0.755,0.4189,0.0
lipophilicity,gem3flash,Gemini 3 Flash,low,60,180,100.0,772.5,794.9889,0.2235,39.6226,1.8868,0.0,0.0,1.0,0.0,2,0,106,0.675,0.4539,1.6667
lipophilicity,gem3flash,Gemini 3 Flash,medium,60,180,100.0,2346.5,2554.2556,0.6983,45.1613,6.4516,0.0,0.0,1.0,0.0,4,0,62,0.58,0.5372,1.6667
lipophilicity,gem3flash,Gemini 3 Flash,high,60,180,100.0,4900.0,5399.2056,1.4664,50.6849,8.2192,1.3699,0.0,0.0005,20.0,5,1,73,0.71,0.5355,5.0
lipophilicity,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.2565,100.0,33.3333,0.0,0.0,1.0,0.0,1,0,3,0.6,0.676,13.3333
lipophilicity,opus5,Claude Opus 5,minimal,60,180,100.0,0.0,4.3167,0.276,0.0,0.0,0.0,0.0,1.0,,0,0,1,0.6,0.6657,26.6667
lipophilicity,opus5,Claude Opus 5,medium,60,180,100.0,32.0,33.3611,0.4067,50.0,16.6667,0.0,0.0,1.0,0.0,1,0,6,0.495,0.6919,13.3333
lipophilicity,opus5,Claude Opus 5,high,60,180,100.0,71.0,78.3444,0.6091,81.8182,9.0909,0.0,9.0909,1.0,0.0,1,0,11,0.58,0.6715,13.3333
