dataset,tag,model,level,n_mol,n_calls,parsed,reasoning_med,reasoning_mean,cost,hit1,hit2,hit3,floor,p_hit,R23,m2,m3,n_usable,medae,spearman,selfcons
aqsoldb,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,1839.0,2150.2,0.294,44.186,9.3023,0.5814,0.593,0.7566,7.1429,14,1,172,0.4644,0.626,0.0
aqsoldb,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0227,46.0123,5.5215,0.6135,0.2963,0.4833,12.5,8,1,163,0.5511,0.6859,0.0
aqsoldb,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,521.0,556.1167,0.4729,45.0,9.2857,2.8571,0.3557,0.0005,36.3636,11,4,140,0.487,0.7194,0.0
aqsoldb,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,1865.0,2029.6611,1.6664,47.3684,14.0351,3.5088,0.4303,0.0005,26.6667,15,4,114,0.5118,0.7308,8.3333
aqsoldb,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,2590.0,2872.8278,2.3522,44.0,13.6,4.0,0.7888,0.0005,35.7143,14,5,125,0.5157,0.748,10.0
aqsoldb,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0,0.0079,38.5475,3.352,0.0,0.0,1.0,0.0,6,0,179,0.575,0.6798,0.0
aqsoldb,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0079,37.4302,3.9106,0.0,0.2729,1.0,0.0,7,0,179,0.5521,0.6335,0.0
aqsoldb,gem3flash,Gemini 3 Flash,low,60,180,100.0,821.0,828.5389,0.2327,45.4023,12.069,2.2989,0.2891,0.0005,20.0,20,4,174,0.4247,0.6481,3.3333
aqsoldb,gem3flash,Gemini 3 Flash,medium,60,180,100.0,2461.0,2657.5,0.7256,43.4286,12.5714,5.1429,0.0,0.0005,42.8571,21,9,175,0.4252,0.7939,3.3333
aqsoldb,gem3flash,Gemini 3 Flash,high,60,180,100.0,5650.5,6256.4944,1.697,47.619,12.5,2.9762,0.5926,0.0005,26.3158,19,5,168,0.3949,0.7574,3.3333
aqsoldb,gpt55,GPT-5.5,none,60,180,100.0,0.0,0.0,0.0878,36.6013,7.1895,0.0,0.3261,1.0,0.0,11,0,153,0.6546,0.5885,0.0
aqsoldb,gpt55,GPT-5.5,minimal,60,180,100.0,516.0,616.2222,1.7569,50.2959,11.8343,4.7337,0.597,0.0005,44.4444,18,8,169,0.3697,0.7193,1.6667
aqsoldb,gpt55,GPT-5.5,low,60,180,100.0,516.0,633.9778,1.8049,44.7853,14.7239,3.0675,0.0,0.0005,25.0,20,5,163,0.4484,0.6983,6.6667
aqsoldb,gpt55,GPT-5.5,medium,60,180,98.8889,4619.5,4193.7333,11.4159,48.7654,10.4938,3.0864,0.0,0.0005,33.3333,15,5,162,0.4628,0.7144,3.3333
aqsoldb,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.2106,46.0177,7.9646,0.885,0.4345,0.4913,16.6667,6,1,113,0.4694,0.5936,0.0
aqsoldb,opus5,Claude Opus 5,minimal,60,180,100.0,30.0,30.6056,0.3483,58.6957,14.1304,0.0,0.5375,1.0,0.0,10,0,92,0.2963,0.6558,1.6667
aqsoldb,opus5,Claude Opus 5,low,60,180,100.0,31.0,29.9111,0.3452,64.1975,13.5802,1.2346,3.7037,1.0,11.1111,9,1,81,0.3102,0.6508,3.3333
aqsoldb,opus5,Claude Opus 5,medium,60,180,100.0,70.0,72.2111,0.5355,66.0377,12.2642,0.0,0.0,1.0,0.0,11,0,106,0.2688,0.6524,0.0
aqsoldb,opus5,Claude Opus 5,high,60,180,100.0,119.5,126.0056,0.7776,61.9048,12.381,2.8571,0.4857,0.0005,25.0,12,3,105,0.2383,0.661,1.6667
bace,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0049,41.7143,2.2857,0.0,0.2954,1.0,0.0,4,0,175,0.558,0.1397,0.0
bace,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0049,43.3526,5.7803,0.578,0.1142,0.1979,10.0,10,1,173,0.5341,0.3204,0.0
bace,gem31flashlite,Gemini 3.1 Flash-Lite,low,60,171,100.0,159.0,160.4269,0.0252,16.4557,0.6329,0.0,0.0,1.0,0.0,1,0,158,1.0708,0.2451,0.0
bace,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,830.0,828.4444,0.1167,39.2308,3.0769,0.0,0.3715,1.0,0.0,4,0,130,0.5733,0.1507,0.0
bace,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,2326.5,2384.6,0.3267,32.967,4.3956,0.0,0.0,1.0,0.0,4,0,91,0.5544,0.2989,0.0
bace,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0293,20.904,2.2599,0.0,0.0,1.0,0.0,4,0,177,1.2303,0.1929,0.0
bace,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,642.0,666.5333,0.5687,32.0,2.0,0.0,0.0,1.0,0.0,1,0,50,0.5277,0.3432,1.6667
bace,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,2818.0,3129.4056,2.5651,44.0,4.0,4.0,5.954,1.0,100.0,1,1,25,0.3788,0.2747,15.0
bace,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,5204.5,5618.7889,4.5799,55.102,6.1224,2.0408,2.0408,1.0,33.3333,3,1,49,0.3979,0.2087,1.6667
bace,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0111,0.0103,13.6364,0.0,0.0,0.0,1.0,,0,0,176,1.2533,0.2481,0.0
bace,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0102,14.6893,0.565,0.565,0.565,1.0,100.0,1,1,177,1.3008,0.1683,0.0
bace,gem3flash,Gemini 3 Flash,low,60,180,100.0,837.5,858.0389,0.2432,27.6836,3.3898,2.2599,2.1992,0.6547,66.6667,6,4,177,0.7264,0.2113,0.0
bace,gem3flash,Gemini 3 Flash,medium,60,180,100.0,3560.5,3745.1111,1.0235,42.3313,3.681,1.8405,1.4337,0.4453,50.0,6,3,163,0.5535,0.2063,1.6667
bace,gem3flash,Gemini 3 Flash,high,60,180,100.0,11614.5,12015.1944,3.2575,40.1274,1.2739,0.0,0.5261,1.0,0.0,2,0,157,0.5096,0.36,1.6667
bace,gpt55,GPT-5.5,none,60,180,100.0,0.0,0.0,0.1113,26.6272,2.3669,0.5917,0.8973,0.949,25.0,4,1,169,0.9814,0.2055,1.6667
bace,gpt55,GPT-5.5,minimal,60,180,100.0,516.0,638.3556,1.8373,50.8333,5.8333,0.8333,1.8225,0.946,14.2857,7,1,120,0.435,0.1596,0.0
bace,gpt55,GPT-5.5,low,60,180,100.0,516.0,618.2278,1.7835,40.8759,1.4599,0.0,0.7617,1.0,0.0,2,0,137,0.4231,0.2079,0.0
bace,gpt55,GPT-5.5,medium,60,180,98.8889,5115.0,4945.7778,13.4691,37.8049,6.7073,3.6585,2.0412,0.0585,54.5455,11,6,164,0.6634,0.166,3.3333
bace,opus5,Claude Opus 5,low,60,180,100.0,0.0,6.0167,0.3019,100.0,0.0,0.0,0.0,1.0,,0,0,1,0.4546,0.4824,6.6667
bace,opus5,Claude Opus 5,medium,60,180,100.0,49.0,50.7,0.503,71.4286,0.0,0.0,0.0,1.0,,0,0,7,0.5079,0.3802,8.3333
bace,opus5,Claude Opus 5,high,60,180,100.0,95.0,101.6333,0.7322,53.6585,19.5122,0.0,4.878,1.0,0.0,8,0,41,0.5969,0.3562,8.3333
boilingpoint,gem31flashlite,Gemini 3.1 Flash-Lite,none,45,135,100.0,0.0,0.0,0.0021,100.0,91.9192,84.8485,9.0909,0.0005,92.3077,91,84,99,0.04,0.9964,71.1111
boilingpoint,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,45,135,100.0,0.0,0.0,0.0021,100.0,93.617,85.1064,8.5106,0.0005,90.9091,88,80,94,0.04,0.9908,68.8889
boilingpoint,gem31flashlite,Gemini 3.1 Flash-Lite,low,45,135,100.0,119.0,119.037,0.0142,100.0,94.0,86.0,9.0,0.0005,91.4894,94,86,100,0.02,0.9999,75.5556
boilingpoint,gem31flashlite,Gemini 3.1 Flash-Lite,medium,35,103,100.0,196.0,218.7864,0.0185,100.0,96.4706,88.2353,1.1518,0.0005,91.4634,82,75,85,0.0,0.9998,85.7143
boilingpoint,gem31flashlite,Gemini 3.1 Flash-Lite,high,45,135,100.0,338.0,403.0444,0.043,100.0,93.0435,83.4783,1.3004,0.0005,89.7196,107,96,115,0.0,0.9999,88.8889
boilingpoint,gem35flash,Gemini 3.5 Flash,minimal,45,135,100.0,0.0,0.0,0.013,99.0826,91.7431,80.7339,0.0,0.0005,88.0,100,88,109,0.02,0.9785,80.0
boilingpoint,gem35flash,Gemini 3.5 Flash,low,45,135,100.0,103.0,114.237,0.0825,99.1379,93.9655,85.3448,2.1513,0.0005,90.8257,109,99,116,0.0,0.9975,80.0
boilingpoint,gem35flash,Gemini 3.5 Flash,medium,45,135,100.0,256.0,286.9407,0.1874,100.0,94.9153,86.4407,1.2674,0.0005,91.0714,112,102,118,0.0,0.9999,84.4444
boilingpoint,gem35flash,Gemini 3.5 Flash,high,45,135,100.0,349.0,405.7111,0.2596,100.0,94.1667,85.0,1.2462,0.0005,90.2655,113,102,120,0.0,0.9999,86.6667
boilingpoint,gem3flash,Gemini 3 Flash,none,45,135,100.0,0.0,0.0,0.0045,98.3193,88.2353,80.6723,1.6807,0.0005,91.4286,105,96,119,0.0,0.9871,86.6667
boilingpoint,gem3flash,Gemini 3 Flash,minimal,45,135,100.0,0.0,0.0,0.0045,99.1453,88.8889,80.3419,2.5641,0.0005,90.3846,104,94,117,0.0,0.9871,84.4444
boilingpoint,gem3flash,Gemini 3 Flash,low,45,135,100.0,249.0,288.6,0.0629,100.0,92.5,85.0,2.9129,0.0005,91.8919,111,102,120,0.0,0.9999,84.4444
boilingpoint,gem3flash,Gemini 3 Flash,medium,45,135,100.0,508.0,895.2815,0.1859,100.0,92.5,85.0,3.7462,0.0005,91.8919,111,102,120,0.0,0.9999,95.5556
boilingpoint,gem3flash,Gemini 3 Flash,high,45,135,100.0,1299.0,1979.3556,0.4053,100.0,92.3729,84.7458,2.1148,0.0005,91.7431,109,100,118,0.0,0.9999,91.1111
boilingpoint,gpt55,GPT-5.5,none,45,90,100.0,0.0,0.0,0.0352,96.2025,89.8734,78.481,0.0,0.0005,87.3239,71,62,79,0.0,0.9888,86.6667
boilingpoint,gpt55,GPT-5.5,minimal,45,90,100.0,80.0,97.9,0.17,100.0,92.5,82.5,1.2462,0.0005,89.1892,74,66,80,0.0,0.9999,97.7778
boilingpoint,gpt55,GPT-5.5,low,45,90,100.0,82.5,100.0222,0.1729,100.0,92.5,81.25,1.2462,0.0005,87.8378,74,65,80,0.0,0.9999,95.5556
boilingpoint,gpt55,GPT-5.5,medium,45,90,100.0,208.0,276.3667,0.4109,100.0,93.75,83.75,1.2462,0.0005,89.3333,75,67,80,0.0,0.9999,88.8889
boilingpoint,gpt55,GPT-5.5,high,45,90,100.0,516.0,450.5778,0.6461,100.0,93.75,85.0,1.2462,0.0005,90.6667,75,68,80,0.0,0.9999,93.3333
boilingpoint,opus5,Claude Opus 5,none,45,135,100.0,0.0,0.0,0.1272,100.0,91.3462,75.9615,0.0,0.0005,83.1579,95,79,104,0.04,0.9999,88.8889
boilingpoint,opus5,Claude Opus 5,minimal,45,135,100.0,0.0,3.637,0.1397,100.0,91.8919,79.2793,11.7117,0.0005,86.2745,102,88,111,0.02,0.9999,88.8889
boilingpoint,opus5,Claude Opus 5,low,45,135,100.0,0.0,3.8074,0.1403,100.0,92.0354,82.3009,2.6549,0.0005,89.4231,104,93,113,0.02,0.9999,91.1111
boilingpoint,opus5,Claude Opus 5,medium,45,135,100.0,18.0,13.4889,0.1733,100.0,92.9204,83.1858,2.6549,0.0005,89.5238,105,94,113,0.0,0.9999,88.8889
boilingpoint,opus5,Claude Opus 5,high,45,135,100.0,19.0,18.8074,0.1915,100.0,92.2414,83.6207,3.8754,0.0005,90.6542,107,97,116,0.0,0.9999,91.1111
caco2,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0049,41.6185,6.3584,0.578,0.578,1.0,10.0,10,1,173,0.58,0.4399,0.0
caco2,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0049,40.1163,4.0698,0.5814,0.2892,0.4978,14.2857,7,1,172,0.555,0.4959,1.6667
caco2,gem31flashlite,Gemini 3.1 Flash-Lite,low,60,178,100.0,157.5,161.2416,0.0264,40.8284,4.7337,0.5917,1.2805,1.0,12.5,8,1,169,0.54,0.3314,0.0
caco2,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,853.0,842.9833,0.1187,44.1718,4.908,0.0,0.3012,1.0,0.0,6,0,163,0.5,0.5877,0.0
caco2,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,2830.5,3344.8167,0.4564,42.6667,2.0,0.0,0.3283,1.0,0.0,3,0,150,0.495,0.5503,0.0
caco2,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0294,41.4634,4.2683,0.6098,0.6098,1.0,14.2857,7,1,164,0.62,0.3078,3.3333
caco2,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,496.5,506.2333,0.4392,43.8596,7.0175,0.8772,0.5816,0.6632,12.5,8,1,114,0.43,0.6365,1.6667
caco2,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,2301.5,2632.3444,2.1627,45.3488,9.3023,2.3256,1.1628,0.0005,25.0,8,2,86,0.39,0.7705,6.6667
caco2,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,4188.0,4450.0167,3.6335,49.0196,9.8039,0.9804,0.0,0.0005,10.0,10,1,102,0.375,0.7609,1.6667
caco2,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0,0.0102,46.2428,4.6243,0.578,1.0012,1.0,12.5,8,1,173,0.465,0.4122,0.0
caco2,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0102,41.8605,6.9767,0.0,0.6834,1.0,0.0,12,0,172,0.599,0.3091,0.0
caco2,gem3flash,Gemini 3 Flash,low,60,180,100.0,825.5,799.0722,0.2282,45.977,5.7471,0.0,0.2917,1.0,0.0,10,0,174,0.4469,0.498,0.0
caco2,gem3flash,Gemini 3 Flash,medium,60,180,100.0,2704.0,2836.6333,0.7764,45.122,4.878,1.2195,0.6098,0.0005,25.0,8,2,164,0.47,0.5517,0.0
caco2,gem3flash,Gemini 3 Flash,high,60,180,100.0,7019.5,7542.25,2.0482,47.205,5.5901,0.6211,0.6211,1.0,11.1111,9,1,161,0.4632,0.5908,0.0
caco2,gpt55,GPT-5.5,none,60,180,100.0,0.0,0.0,0.1082,33.1288,4.2945,0.0,0.0,1.0,0.0,7,0,163,0.675,0.1873,0.0
caco2,gpt55,GPT-5.5,minimal,60,180,100.0,516.0,600.5,1.7348,47.4684,5.0633,1.2658,0.0,0.0005,25.0,8,2,158,0.415,0.6312,0.0
caco2,gpt55,GPT-5.5,low,60,180,100.0,516.0,595.3167,1.7208,45.5172,6.2069,1.3793,1.69,0.8436,22.2222,9,2,145,0.465,0.6062,0.0
caco2,gpt55,GPT-5.5,medium,60,180,97.7778,4660.0,4304.1889,11.7344,47.8528,8.589,1.8405,0.3138,0.0005,21.4286,14,3,163,0.4687,0.5747,0.0
caco2,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.2786,41.0714,3.5714,0.0,0.0,1.0,0.0,4,0,112,0.42,0.6506,8.3333
caco2,opus5,Claude Opus 5,minimal,60,180,100.0,0.0,0.2778,0.2798,23.0769,7.6923,0.0,11.4346,1.0,0.0,1,0,13,0.42,0.5607,31.6667
caco2,opus5,Claude Opus 5,low,60,180,100.0,0.0,0.3444,0.2801,12.5,0.0,0.0,0.0,1.0,,0,0,16,0.42,0.5579,36.6667
caco2,opus5,Claude Opus 5,medium,60,180,100.0,0.0,28.35,0.4061,53.1915,4.2553,0.0,0.0,1.0,0.0,2,0,47,0.38,0.5978,8.3333
caco2,opus5,Claude Opus 5,high,60,180,100.0,90.5,107.2111,0.761,57.732,12.3711,2.0619,0.0,0.0005,16.6667,12,2,97,0.4,0.6739,0.0
esol,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0036,39.4161,9.4891,0.0,0.7299,1.0,0.0,12,0,137,0.5665,0.9072,1.6667
esol,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0036,44.5255,6.5693,0.0,0.0,1.0,0.0,9,0,137,0.52,0.8963,1.6667
esol,gem31flashlite,Gemini 3.1 Flash-Lite,low,40,116,100.0,136.0,137.4569,0.0143,48.1481,3.7037,0.0,2.4691,1.0,0.0,3,0,81,0.535,0.9392,2.5641
esol,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,520.0,587.1778,0.0828,49.6241,4.5113,0.7519,0.3699,0.4923,20.0,5,1,133,0.47,0.956,1.6667
esol,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,1129.5,1786.6278,0.2447,46.0432,6.4748,0.7194,1.0734,1.0,12.5,8,1,139,0.475,0.9482,1.6667
esol,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0214,43.9394,7.5758,0.7576,0.0,0.0005,10.0,10,1,132,0.3765,0.9486,1.6667
esol,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,431.0,493.0889,0.4207,69.1729,29.3233,13.5338,1.4789,0.0005,47.3684,38,18,133,0.175,0.9828,10.0
esol,gem35flash,Gemini 3.5 Flash,medium,60,180,99.4444,1489.5,1839.8778,1.5129,80.315,37.7953,19.685,2.3661,0.0005,52.0833,48,25,127,0.06,0.985,18.3333
esol,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,1917.5,2512.3889,2.0591,75.9398,33.8346,15.0376,5.6447,0.0005,44.4444,45,20,133,0.11,0.9846,18.3333
esol,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0111,0.0073,42.1429,9.2857,3.5714,0.3539,0.0005,41.6667,12,5,140,0.4265,0.9546,0.0
esol,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0073,49.635,4.3796,1.4599,2.5818,1.0,33.3333,6,2,137,0.4095,0.9474,0.0
esol,gem3flash,Gemini 3 Flash,low,60,180,100.0,583.0,623.5111,0.1757,65.9091,20.4545,7.5758,3.0523,0.0005,38.4615,26,10,132,0.271,0.9708,3.3333
esol,gem3flash,Gemini 3 Flash,medium,60,180,100.0,1508.5,1941.6333,0.5317,66.9118,22.0588,9.5588,2.5768,0.0005,43.3333,30,13,136,0.2475,0.9776,5.0
esol,gem3flash,Gemini 3 Flash,high,60,180,100.0,3592.5,4869.0278,1.3218,64.9254,16.4179,6.7164,2.2243,0.0005,40.9091,22,9,134,0.2365,0.9781,0.0
esol,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.2032,65.8915,41.0853,37.2093,4.6512,0.0005,92.3077,52,48,129,0.17,0.9695,40.0
esol,opus5,Claude Opus 5,minimal,60,180,100.0,43.0,47.0556,0.415,86.6142,69.2913,59.8425,3.4996,0.0005,87.3563,87,76,127,0.0,0.9809,60.0
esol,opus5,Claude Opus 5,low,60,180,100.0,39.0,43.95,0.401,88.2812,62.5,58.5938,8.6008,0.0005,94.9367,79,75,128,0.004,0.9802,51.6667
esol,opus5,Claude Opus 5,medium,60,180,100.0,84.0,97.7778,0.6432,90.2985,70.8955,60.4478,5.5907,0.0005,87.0968,93,81,134,0.0,0.9842,58.3333
esol,opus5,Claude Opus 5,high,60,180,100.0,125.5,211.5389,1.1551,89.6296,74.8148,64.4444,7.0248,0.0005,87.0,100,87,135,0.0,0.9866,63.3333
freesolv,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0034,23.4043,4.2553,0.0,0.7092,1.0,0.0,6,0,141,1.14,0.8369,0.0
freesolv,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0034,28.9855,4.3478,0.7246,0.0,0.0005,20.0,5,1,138,0.94,0.8378,0.0
freesolv,gem31flashlite,Gemini 3.1 Flash-Lite,low,51,148,100.0,130.0,131.3176,0.0174,31.8966,3.4483,1.7241,0.8621,0.0005,66.6667,3,2,116,0.905,0.8264,2.0408
