dataset,tag,recall_map,maxhit_map,prevalence,tokens_lo,tokens_hi,hit3_zero,hit3_peak,gate,gate_ratio,rho_zero,rho_peak,medae_zero,medae_peak,spread_zero,spread_peak,depth4_peak,n_hit3_peak,sig3_zero,sig3_peak,hedging
caco2,gem35flash,0.0,1.852,1.695,0.0,4188.0,0.556,1.111,0.556,2.0,0.308,0.765,0.62,0.39,0.839,1.383,100.0,2,93.889,50.0,43.889
bace,gem35flash,0.0,1.477,0.0,0.0,5204.5,0.0,0.556,0.556,1.852,0.193,0.253,1.23,0.379,2.384,1.697,0.0,1,100.0,14.444,85.556
qm8,gem31flashlite,9.091,2.4,1.667,0.0,1935.0,0.556,1.111,0.556,2.0,0.868,0.881,0.033,0.022,0.919,0.864,0.0,2,100.0,100.0,0.0
esol,gem31flashlite,68.182,62.06,30.508,0.0,1129.5,0.0,0.556,0.556,1.852,0.896,0.956,0.52,0.47,0.746,0.772,0.0,1,91.667,88.889,2.778
ld50,opus5,72.727,16.946,6.78,0.0,122.0,7.222,7.778,0.556,1.077,0.566,0.578,0.335,0.325,0.818,0.831,0.0,14,78.889,81.667,-2.778
caco2,gem31flashlite,0.0,1.852,1.695,0.0,2830.5,0.556,0.562,0.006,1.011,0.496,0.331,0.555,0.54,0.679,0.784,0.0,1,98.889,98.315,0.574
bace,gem31flashlite,0.0,1.477,0.0,0.0,2326.5,0.556,0.556,0.0,1.0,0.32,0.32,0.534,0.534,1.73,1.73,0.0,1,97.778,97.778,0.0
aqsoldb,gem31flashlite,68.182,7.889,5.085,0.0,1839.0,0.556,0.556,0.0,1.0,0.64,0.64,0.582,0.582,1.394,1.394,0.0,1,96.667,96.667,0.0
bace,opus5,0.0,1.477,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.482,0.482,0.455,0.455,2.486,2.486,,0,0.556,0.556,0.0
antiviral,gem3flash,0.0,1.092,0.0,0.0,13016.5,0.556,0.556,0.0,1.0,0.183,0.183,1.007,1.007,0.978,0.978,0.0,1,99.444,99.444,0.0
antiviral,gem35flash,0.0,1.092,0.0,0.0,4782.5,0.0,0.0,0.0,0.0,0.14,0.14,0.785,0.785,0.923,0.923,,0,92.778,92.778,0.0
antiviral,opus5,0.0,1.092,0.0,0.0,72.0,0.0,0.0,0.0,0.0,-0.007,-0.007,0.575,0.575,0.086,0.086,,0,0.0,0.0,0.0
antiviral,gem31flashlite,0.0,1.092,0.0,0.0,2525.5,0.0,0.0,0.0,0.0,0.198,0.198,0.63,0.63,0.529,0.529,,0,97.222,97.222,0.0
lipophilicity,gem35flash,4.545,0.73,3.333,0.0,4225.5,0.0,0.0,0.0,0.0,0.345,0.345,0.84,0.84,0.745,0.745,,0,92.222,92.222,0.0
lipophilicity,gem31flashlite,4.545,0.73,3.333,0.0,2292.5,1.111,1.111,0.0,1.0,0.292,0.292,1.08,1.08,0.882,0.882,0.0,2,95.0,95.0,0.0
ppbr,opus5,4.545,2.869,1.667,0.0,55.0,3.333,3.333,0.0,1.0,0.642,0.642,4.045,4.045,1.556,1.556,0.0,6,86.111,86.111,0.0
ppbr,gem35flash,4.545,2.869,1.667,0.0,3957.5,1.667,1.667,0.0,1.0,0.424,0.424,4.165,4.165,0.841,0.841,0.0,3,46.111,46.111,0.0
lipophilicity,gem3flash,4.545,0.73,3.333,0.0,4900.0,1.111,1.111,0.0,1.0,0.419,0.419,0.755,0.755,0.679,0.679,0.0,2,97.778,97.778,0.0
ppbr,gem3flash,4.545,2.869,1.667,0.0,6034.5,2.235,2.235,0.0,1.0,0.404,0.404,4.61,4.61,0.939,0.939,0.0,4,42.458,42.458,0.0
lipophilicity,opus5,4.545,0.73,3.333,0.0,71.0,0.0,0.0,0.0,0.0,0.656,0.656,0.58,0.58,0.663,0.663,,0,0.0,0.0,0.0
qm7,gem3flash,13.636,16.233,5.357,0.0,10158.0,0.0,0.0,0.0,0.0,-0.545,-0.545,2741.942,2741.942,0.805,0.805,,0,100.0,100.0,0.0
