dataset,dataset_name,ds_class,model,tag,vendor,arm,blocks,n_call,n_queried,trunc,reasoning,cost,think,n_pred,n_usable,n_mol,level,n_bins,mp_chance_hit,mp_p_hit,mp_chance_deep,mp_p_deep,rs_chance_hit,rs_p_hit,rs_chance_deep,rs_p_deep,rs_chance_hit3,rs_p_hit3,rs_chance_R23,rs_p_R23,pearson,spearman,rmse,medae,m1,m2,m3,h1,h2,h3,hit,hit_stat,deep,deep_stat,hit3,hit3_all,R12,R23,chance_hit,p_hit,chance_deep,p_deep,mb_chance_hit,mb_p_hit,mb_chance_deep,mb_p_deep,hit_lo,hit_hi,deep_lo,deep_hi,chance_hit3,p_hit3,chance_R12,p_R12,chance_R23,p_R23,mb_chance_hit3,mb_p_hit3,mb_chance_R12,mb_p_R12,mb_chance_R23,mb_p_R23,q_hit_joint,q_deep_joint,decided_at,q_hit_used,q_deep_used,regime,excess
bace,BACE,measured,Gemini 3.1 Pro,gem31pro,Google,t1024,1,500,500,0.0,max_tokens:1024,1.6526,497.0,500,474,474,3,20,0.8734,0.6357,32.0939,0.3683,0.8256,0.5347,29.6864,0.3018,0.8256,0.5347,29.6864,0.3018,0.5836,0.5466,1.5387,0.9172,134,11,4,134,11,5,0.8439,hit3,36.3636,R23,0.8439,0.8,8.209,36.3636,0.7586,0.4878,29.8019,0.3038,0.8827,0.6502,31.9651,0.3608,0.211,1.6878,9.072,66.6667,0.7586,0.4878,11.5666,0.8656,29.8019,0.3038,0.8827,0.6502,9.9713,0.8246,31.9651,0.3608,0.9446,0.6633,2,,,clean,0.8232627641330619
bace,BACE,measured,Gemini 3.5 Flash,gem35flash,Google,reg,1,500,500,0.0,minimal,0.0829,0.0,500,474,474,3,20,0.4353,0.3333,18.5674,0.3313,0.5402,0.4768,16.2855,0.2359,0.5402,0.4768,16.2855,0.2359,0.2885,0.2324,1.391,1.1215,112,13,3,112,14,3,0.6329,hit3,23.0769,R23,0.6329,0.6,11.6071,23.0769,0.2621,0.1269,13.8421,0.2099,0.4143,0.3218,17.8186,0.3073,0.0,1.4768,0.0,50.0,0.2621,0.1269,9.1134,0.1889,13.8421,0.2099,0.4143,0.3218,10.4357,0.3073,17.8186,0.3073,0.707,0.7006,2,,,clean,1.1122492980825436
bace,BACE,measured,Gemini 3.5 Flash,gem35flash,Google,t1024,1,500,500,0.0,max_tokens:1024,1.6616,677.5,500,474,474,3,20,1.0009,0.907,27.3577,0.8516,0.5848,0.5277,17.9107,0.4898,0.5848,0.5277,17.9107,0.4898,0.6252,0.5853,1.1894,0.6667,170,17,3,170,18,3,0.6329,hit3,17.6471,R23,0.6329,0.6,10.0,17.6471,0.6368,0.5862,25.6908,0.7346,0.9904,0.8901,27.0818,0.8391,0.0,1.4768,0.0,37.5,0.6368,0.5862,11.2108,0.6452,25.6908,0.7346,0.9904,0.8901,10.3798,0.5737,27.0818,0.8391,1.0,1.0,3,0.9959502222222222,0.9629853881278538,clean,0.639034733441034
bace,BACE,measured,Gemini 3.6 Flash,gem36flash,Google,reg,1,500,500,0.0,minimal,0.0401,0.0,500,474,474,3,20,0.6805,0.6437,22.6554,0.6727,0.5568,0.4943,16.9355,0.4573,0.5568,0.4943,16.9355,0.4573,0.4078,0.3436,1.4023,0.9607,129,17,3,129,18,3,0.6329,hit3,17.6471,R23,0.6329,0.6,13.1783,17.6471,0.4539,0.3633,21.6677,0.5872,0.6909,0.6672,23.2278,0.7011,0.0,1.4768,0.0,38.0952,0.4539,0.3633,9.6735,0.1234,21.6677,0.5872,0.6909,0.6672,11.3638,0.2159,23.2278,0.7011,0.9957,1.0,3,0.8749022608695652,0.9018456558773423,clean,0.9160515269937763
bace,BACE,measured,Gemini 3.6 Flash,gem36flash,Google,t1024,1,500,500,0.0,max_tokens:1024,1.143,555.0,500,474,474,3,20,0.9023,0.8301,24.7217,0.7331,0.5103,0.4333,16.3008,0.3848,0.5103,0.4333,16.3008,0.3848,0.5928,0.568,1.1723,0.781,169,16,3,169,16,3,0.6329,hit3,18.75,R23,0.6329,0.6,9.4675,18.75,0.5884,0.5182,26.7355,0.7031,0.9001,0.8346,24.8817,0.7296,0.0,1.4768,0.0,40.0294,0.5884,0.5182,9.6606,0.4983,26.7355,0.7031,0.9001,0.8346,10.3553,0.6777,24.8817,0.7296,1.0,0.9848,3,0.9629853881278538,0.9105328925619834,clean,0.7031440951005444
bace,BACE,measured,Gemini 3 Flash,gem3flash,Google,reg,1,500,500,0.0,none,0.0275,0.0,500,474,474,3,20,0.4963,0.0165,16.4558,0.045,0.9599,0.3088,21.8126,0.1494,0.9599,0.3088,21.8126,0.1494,0.4423,0.3957,1.2893,0.8857,135,19,6,135,20,6,1.2658,hit3,31.5789,R23,1.2658,1.2,14.0741,31.5789,0.365,0.0075,17.6143,0.1459,0.4555,0.013,15.1952,0.0485,0.4219,2.3207,10.5263,54.1667,0.365,0.0075,9.4326,0.0685,17.6143,0.1459,0.4555,0.013,11.3221,0.1129,15.1952,0.0485,0.0702,0.215,3,0.034636042402826854,0.11873051948051949,partial,2.7789242590559824
bace,BACE,measured,Gemini 3 Flash,gem3flash,Google,t1024,1,500,500,0.0,max_tokens:1024,0.6801,857.0,500,474,474,3,20,1.1014,0.4403,30.3505,0.4123,1.1919,0.4888,29.2481,0.3798,1.1919,0.4888,29.2481,0.3798,0.5478,0.5047,1.2433,0.8215,164,18,6,164,18,7,1.2658,hit3,33.3333,R23,1.2658,1.2,10.9756,33.3333,0.4342,0.015,21.0475,0.2194,1.0951,0.4173,30.2118,0.4058,0.211,2.3207,9.0909,57.9057,0.4342,0.015,9.6781,0.3193,21.0475,0.2194,1.0951,0.4173,10.9386,0.4668,30.2118,0.4058,0.714,0.7125,3,0.6415910386965378,0.6321760330578513,clean,1.1558761756917177
bace,BACE,measured,GPT-4.1,gpt41,OpenAI,reg,1,500,500,0.0,none,0.2148,0.0,500,474,474,3,20,0.2983,0.7981,13.9121,0.5327,0.3431,0.7976,13.6269,0.5297,0.3431,0.7976,13.6269,0.5297,0.2993,0.2101,1.7184,1.0665,117,8,1,117,8,1,0.211,hit3,12.5,R23,0.211,0.2,6.8376,12.5,0.3658,0.8296,14.3642,0.5477,0.3028,0.8076,14.3105,0.5407,0.0,0.6329,0.0,40.0,0.3658,0.8296,10.5074,0.9195,14.3642,0.5477,0.3028,0.8076,8.9858,0.8656,14.3105,0.5407,1.0,0.9218,2,,,clean,0.7609339179594472
bace,BACE,measured,GPT-4.1,gpt41,OpenAI,t1024,1,500,500,0.0,max_tokens:1024,0.2148,0.0,500,474,474,3,20,0.2111,1.0,9.4086,1.0,0.096,1.0,4.2332,1.0,0.096,1.0,4.2332,1.0,0.3194,0.2744,1.7008,1.0168,123,12,0,123,12,0,0.0,hit3,0.0,R23,0.0,0.0,9.7561,0.0,0.3226,1.0,12.9888,1.0,0.2114,1.0,9.5013,1.0,0.0,0.0,0.0,0.0,0.3226,1.0,10.3755,0.5847,12.9888,1.0,0.2114,1.0,8.7995,0.3398,9.5013,1.0,1.0,1.0,2,,,clean,1.108710722200125
bace,BACE,measured,GPT-5,gpt5,OpenAI,reg,1,500,500,0.0,minimal,0.2287,0.0,500,474,474,3,20,0.3531,0.5207,18.4068,0.3063,0.4815,0.6602,19.6389,0.3408,0.4815,0.6602,19.6389,0.3408,0.2884,0.2535,1.4626,0.9722,123,8,2,123,9,3,0.4219,hit3,25.0,R23,0.4219,0.4,6.5041,25.0,0.3199,0.4518,13.4919,0.1724,0.3558,0.5322,18.7054,0.3228,0.0,1.0549,0.0,57.1726,0.3199,0.4518,10.226,0.9185,13.4919,0.1724,0.3558,0.5322,7.0569,0.5902,18.7054,0.3228,0.9208,0.707,2,,,clean,0.9216653204664939
bace,BACE,measured,GPT-5,gpt5,OpenAI,t1024,1,500,500,0.0,low,3.3103,576.0,499,474,474,3,20,0.3099,0.8076,23.1601,0.6907,0.1993,0.6127,14.8703,0.4343,0.1993,0.6127,14.8703,0.4343,0.0574,0.3793,4.515,1.6192,74,6,1,74,7,1,0.211,hit3,16.6667,R23,0.211,0.2004,8.1081,16.6667,0.2324,0.6687,17.2276,0.5092,0.3074,0.7916,22.9736,0.6692,0.0,0.8439,0.0,50.0,0.2324,0.6687,9.023,0.5862,17.2276,0.5092,0.3074,0.7916,8.7239,0.6087,22.9736,0.6692,1.0,0.9552,2,,,clean,0.9294123041300336
bace,BACE,measured,GPT-5.5,gpt55,OpenAI,reg,1,500,500,0.0,none,0.2998,0.0,500,474,474,3,20,0.5014,0.7331,17.12,0.5172,0.4333,0.6017,17.5487,0.5292,0.4333,0.6017,17.5487,0.5292,0.3053,0.2461,1.5088,0.9858,138,12,2,138,14,2,0.4219,hit3,16.6667,R23,0.4219,0.4,8.6957,16.6667,0.5223,0.7086,21.9735,0.6747,0.5205,0.7551,17.547,0.5477,0.0,1.0549,0.0,42.8571,0.5223,0.7086,10.695,0.7406,21.9735,0.6747,0.5205,0.7551,10.3875,0.7921,17.547,0.5477,1.0,0.9277,2,,,clean,0.8371311672683515
bace,BACE,measured,GPT-5.5,gpt55,OpenAI,t1024,1,500,500,0.0,low,4.9996,516.0,500,474,474,3,20,0.7377,0.7161,40.4151,0.4628,0.483,0.3983,29.8066,0.2324,0.483,0.3983,29.8066,0.2324,0.55,0.4982,1.9436,1.342,79,7,3,79,9,3,0.6329,hit3,42.8571,R23,0.6329,0.6,8.8608,42.8571,0.6457,0.5972,34.1554,0.3143,0.7435,0.7281,40.7602,0.4678,0.0,1.4768,0.0,83.3333,0.6457,0.5972,11.3857,0.7646,34.1554,0.3143,0.7435,0.7281,11.2806,0.8076,40.7602,0.4678,0.9848,0.7617,2,,,clean,0.785490133503537
bace,BACE,measured,Grok 4.3,grok43,xAI,reg,1,500,500,0.0,none,0.1176,0.0,500,474,474,3,20,0.3664,1.0,23.5938,1.0,0.0977,1.0,4.9689,1.0,0.0977,1.0,4.9689,1.0,0.1054,0.0691,1.6149,1.16,97,10,0,97,11,0,0.0,hit3,0.0,R23,0.0,0.0,10.3093,0.0,0.325,1.0,16.6826,1.0,0.3743,1.0,24.2863,1.0,0.0,0.0,0.0,0.0,0.325,1.0,8.8342,0.2899,16.6826,1.0,0.3743,1.0,7.4984,0.0955,24.2863,1.0,1.0,1.0,2,,,clean,1.3748666382161527
bace,BACE,measured,Grok 4.3,grok43,xAI,t1024,1,500,500,0.0,max_tokens:1024,2.8669,1979.5,496,470,470,3,20,1.0151,0.5372,46.3891,0.4598,1.0203,0.5182,36.318,0.1914,1.0203,0.5182,36.318,0.1914,-0.036,0.1709,66.9171,1.9151,80,10,5,80,11,6,1.0638,hit3,50.0,R23,1.0638,1.0081,12.5,50.0,0.5,0.0835,31.2897,0.1924,1.0085,0.5407,46.1253,0.4558,0.2128,2.1277,16.6667,83.3333,0.5,0.0835,11.1784,0.3538,31.2897,0.1924,1.0085,0.5407,12.5953,0.5107,46.1253,0.4558,0.828,0.7536,2,,,clean,0.9924336855811294
bace,BACE,measured,Grok 4.5,grok45,xAI,reg,1,500,500,0.0,low,1.3824,371.5,500,474,474,3,20,0.5507,0.2464,21.0418,0.087,0.8678,0.5807,31.0067,0.3393,0.8678,0.5807,31.0067,0.3393,0.4384,0.3621,1.4344,0.8671,126,11,4,126,14,5,0.8439,hit3,36.3636,R23,0.8439,0.8,8.7302,36.3636,0.6537,0.3828,28.1761,0.2869,0.5462,0.2394,20.5228,0.0695,0.211,1.6878,9.0909,70.0,0.6537,0.3828,9.6409,0.6192,28.1761,0.2869,0.5462,0.2394,9.77,0.6927,20.5228,0.0695,0.609,0.2793,2,,,clean,0.8935721596724667
bace,BACE,measured,Grok 4.5,grok45,xAI,t1024,1,500,500,0.0,max_tokens:1024,3.9708,1140.0,499,473,473,3,20,0.3179,0.4568,14.2763,0.4338,0.4791,0.6637,20.5341,0.6547,0.4791,0.6637,20.5341,0.6547,0.4707,0.3632,1.509,0.8947,128,13,2,128,14,2,0.4228,hit3,15.3846,R23,0.4228,0.4008,10.1562,15.3846,0.6053,0.7961,25.9794,0.7851,0.3186,0.4588,14.4746,0.4373,0.0,1.0571,0.0,38.4722,0.6053,0.7961,9.9775,0.4613,25.9794,0.7851,0.3186,0.4588,8.1073,0.1479,14.4746,0.4373,0.7562,0.7359,2,,,clean,1.2527228547111862
bace,BACE,measured,Claude Haiku 4.5,haiku45,Anthropic,reg,1,500,500,0.0,none,0.1519,0.0,500,474,474,3,20,1.0118,0.7551,29.8104,0.7381,0.6223,0.3423,15.1921,0.1629,0.6223,0.3423,15.1921,0.1629,0.1607,0.2879,2.3448,0.9604,134,17,4,134,21,4,0.8439,hit3,23.5294,R23,0.8439,0.8,12.6866,23.5294,0.5787,0.2884,26.9177,0.5692,1.0131,0.7501,30.08,0.7366,0.211,1.6878,5.2632,47.4342,0.5787,0.2884,9.7519,0.1559,26.9177,0.5692,1.0131,0.7501,12.0566,0.3883,30.08,0.7366,1.0,1.0,3,0.9166538087520258,0.9126000000000001,clean,0.8329878590464911
bace,BACE,measured,Claude Haiku 4.5,haiku45,Anthropic,t1024,1,500,500,0.0,max_tokens:1024,1.7293,452.0,500,474,474,3,20,0.2422,0.3328,19.6473,0.3948,0.5152,0.6982,33.3953,0.6992,0.5152,0.6982,33.3953,0.6992,-0.0243,0.0605,18.6537,2.4937,63,8,2,63,8,2,0.4219,hit3,25.0,R23,0.4219,0.4,12.6984,25.0,0.2521,0.3293,19.9791,0.4003,0.2335,0.3033,19.5153,0.3933,0.0,1.0549,0.0,60.0385,0.2521,0.3293,10.4144,0.2789,19.9791,0.4003,0.2335,0.3033,9.5108,0.1609,19.5153,0.3933,0.5912,0.6995,2,,,clean,1.3351558228540186
bace,BACE,measured,Kimi K3,kimik3,Moonshot,reg,1,500,500,0.0,none,0.4185,0.0,499,473,473,3,20,0.3705,0.5567,19.794,0.3593,0.4185,0.5982,15.7814,0.2224,0.4185,0.5982,15.7814,0.2224,0.1006,0.1675,2.5868,1.1365,109,8,2,109,9,3,0.4228,hit3,25.0,R23,0.4228,0.4008,7.3394,25.0,0.4149,0.6002,19.7606,0.3443,0.3526,0.5277,18.6616,0.3108,0.0,1.0571,0.0,60.0,0.4149,0.6002,9.861,0.8111,19.7606,0.3443,0.3526,0.5277,8.3574,0.7071,18.6616,0.3108,0.9208,0.7006,2,,,clean,0.8781917821331994
bace,BACE,measured,Kimi K3,kimik3,Moonshot,t1024,1,500,500,0.0,max_tokens:1024,13.3837,458.5,499,473,473,3,20,0.7016,0.905,45.5093,0.9095,0.3005,0.4133,14.949,0.2274,0.3005,0.4133,14.949,0.2274,0.4327,0.3645,1.8654,1.2682,94,8,2,94,10,2,0.4228,hit3,25.0,R23,0.4228,0.4008,8.5106,25.0,0.7735,0.8956,39.4966,0.8316,0.7132,0.905,46.6356,0.915,0.0,1.0571,0.0,57.1429,0.7735,0.8956,10.4897,0.7216,39.4966,0.8316,0.7132,0.905,7.8088,0.3903,46.6356,0.915,1.0,1.0,2,,,clean,1.0898729638356726
bace,BACE,measured,Llama 4 Maverick,llama4mav,Meta,reg,1,500,500,0.0,none,0.0498,0.0,500,474,474,3,20,0.0791,0.3288,8.4526,0.2444,0.2601,0.7161,27.1242,0.6217,0.2601,0.7161,27.1242,0.6217,0.1988,0.1461,2.7073,2.2613,64,5,1,64,5,1,0.211,hit3,20.0,R23,0.211,0.2,7.8125,20.0,0.0845,0.3368,8.1097,0.2039,0.0714,0.3138,7.7623,0.2264,0.0,0.6329,0.0,66.6667,0.0845,0.3368,8.3268,0.5412,8.1097,0.2039,0.0714,0.3138,6.9124,0.4048,7.7623,0.2264,0.7021,0.5871,0,,,untestable,
bace,BACE,measured,Llama 4 Maverick,llama4mav,Meta,t1024,1,500,500,0.0,max_tokens:1024,0.0585,0.0,500,474,474,3,20,0.0246,1.0,3.574,1.0,0.0525,1.0,8.1684,1.0,0.0525,1.0,8.1684,1.0,0.1831,0.1833,3.0295,2.5094,40,3,0,40,3,0,0.0,hit3,0.0,R23,0.0,0.0,7.5,0.0,0.0576,1.0,7.34,1.0,0.0239,1.0,3.3275,1.0,0.0,0.0,0.0,0.0,0.0576,1.0,7.3748,0.4593,7.34,1.0,0.0239,1.0,7.6792,0.4868,3.3275,1.0,1.0,1.0,0,,,untestable,
bace,BACE,measured,GPT-5.6 luna,luna,OpenAI,reg,1,500,500,0.0,none,0.012,0.0,500,474,474,3,20,0.4162,0.6127,15.2994,0.3163,0.4514,0.6362,13.5771,0.2409,0.4514,0.6362,13.5771,0.2409,0.3262,0.2985,1.8125,1.0909,123,10,2,123,10,2,0.4219,hit3,20.0,R23,0.4219,0.4,8.1301,20.0,0.2023,0.2509,9.2606,0.1589,0.4188,0.6272,15.6299,0.3338,0.0,1.0549,0.0,50.0,0.2023,0.2509,9.7762,0.7081,9.2606,0.1589,0.4188,0.6272,10.7278,0.8811,15.6299,0.3338,0.9873,0.7189,2,,,clean,0.757853427543392
bace,BACE,measured,GPT-5.6 luna,luna,OpenAI,t1024,1,500,500,0.0,low,0.108,516.0,500,474,474,3,20,0.2544,0.7411,22.6121,0.3098,0.1935,0.5932,20.0586,0.2834,0.1935,0.5932,20.0586,0.2834,0.5049,0.4334,2.1105,1.4672,88,3,1,88,3,1,0.211,hit3,33.3333,R23,0.211,0.2,3.4091,33.3333,0.2706,0.7291,18.0366,0.1884,0.2595,0.7576,22.3685,0.3013,0.0,0.6329,0.0,100.0,0.2706,0.7291,8.766,0.976,18.0366,0.1884,0.2595,0.7576,6.6001,0.942,22.3685,0.3013,0.9936,0.5912,2,,,clean,0.5165224769321677
bace,BACE,measured,MiniMax M3,minimaxm3,MiniMax,reg,1,500,500,0.0,none,0.8387,0.0,499,473,473,3,20,0.4948,0.7341,20.8,0.6617,0.3807,0.5357,16.6138,0.4813,0.3807,0.5357,16.6138,0.4813,0.0293,0.1732,5.3237,1.1535,112,12,2,112,15,2,0.4228,hit3,16.6667,R23,0.4228,0.4008,10.7143,16.6667,0.3165,0.4323,16.5701,0.4753,0.4961,0.7151,20.9786,0.6582,0.0,1.0571,0.0,41.6667,0.3165,0.4323,9.9684,0.4003,16.5701,0.4753,0.4961,0.7151,10.5349,0.4628,20.9786,0.6582,1.0,0.9873,2,,,clean,1.0170291127585454
bace,BACE,measured,MiniMax M3,minimaxm3,MiniMax,t1024,1,500,500,0.0,max_tokens:1024,3.2113,3020.5,498,472,472,3,20,0.1073,0.4048,4.4681,0.3693,0.3299,0.7801,11.7552,0.6892,0.3299,0.7801,11.7552,0.6892,0.1188,0.3109,3.4161,1.007,139,14,1,139,15,1,0.2119,hit3,7.1429,R23,0.2119,0.2008,10.0719,7.1429,0.1183,0.4323,6.1852,0.4198,0.0994,0.3863,4.1913,0.3523,0.0,0.6356,0.0,25.0,0.1183,0.4323,8.7474,0.3078,6.1852,0.4198,0.0994,0.3863,8.1511,0.1629,4.1913,0.3523,0.6918,0.6522,2,,,clean,1.2356491761848094
bace,BACE,measured,Mistral Large 2512,mistrall,Mistral,reg,1,500,500,0.0,minimal,0.0273,0.0,500,474,474,3,20,0.9205,0.8911,47.5975,0.905,0.5845,0.5237,30.229,0.4963,0.5845,0.5237,30.229,0.4963,0.2606,0.2048,2.1198,1.4782,105,10,3,105,11,3,0.6329,hit3,30.0,R23,0.6329,0.6,9.5238,30.0,0.8465,0.7991,46.7442,0.8556,0.9331,0.8931,48.2994,0.9055,0.0,1.4768,0.0,63.6526,0.8465,0.7991,8.1984,0.2869,46.7442,0.8556,0.9331,0.8931,8.7959,0.3743,48.2994,0.9055,1.0,1.0,2,,,clean,1.082754465148535
bace,BACE,measured,Mistral Large 2512,mistrall,Mistral,t1024,1,500,500,0.0,max_tokens:1024,0.0267,0.0,500,474,474,3,20,0.9288,0.7301,47.9397,0.5127,0.7164,0.4488,44.0945,0.4363,0.7164,0.4488,44.0945,0.4363,0.3224,0.2289,2.1018,1.5081,111,8,4,111,8,4,0.8439,hit3,50.0,R23,0.8439,0.8,7.2072,50.0,0.8857,0.6237,46.4602,0.4778,0.9269,0.7276,48.1491,0.4973,0.0,1.6878,0.0,85.7143,0.8857,0.6237,8.5585,0.6817,46.4602,0.4778,0.9269,0.7276,8.3017,0.7496,48.1491,0.4973,0.9848,0.7883,2,,,clean,0.8681595335895058
bace,BACE,measured,Claude Opus 5,opus5,Anthropic,reg,1,500,500,0.0,none,0.7828,0.0,500,474,474,3,20,0.7707,1.0,18.7553,1.0,0.0044,1.0,0.1286,1.0,0.0044,1.0,0.1286,1.0,0.5908,0.586,1.2261,0.7775,150,15,0,150,15,0,0.0,hit3,0.0,R23,0.0,0.0,10.0,0.0,0.5326,1.0,22.5371,1.0,0.8218,1.0,19.8641,1.0,0.0,0.0,0.0,0.0,0.5326,1.0,11.7291,0.6972,22.5371,1.0,0.8218,1.0,12.6115,0.8996,19.8641,1.0,1.0,1.0,3,1.0,1.0,clean,0.0
bace,BACE,measured,Claude Opus 5,opus5,Anthropic,t1024,1,500,500,0.0,max_tokens:1024,2.1418,0.0,500,474,474,3,20,1.3802,0.4908,26.9751,0.4938,1.2278,0.3588,23.622,0.3438,1.2278,0.3588,23.622,0.3438,0.6486,0.6425,1.1193,0.6842,164,26,7,164,27,7,1.4768,hit3,26.9231,R23,1.4768,1.4,15.8537,26.9231,0.8262,0.0845,31.6006,0.6502,1.3753,0.4953,26.8866,0.5067,0.4219,2.7426,9.6736,45.0114,0.8262,0.0845,12.5284,0.1489,31.6006,0.6502,1.3753,0.4953,14.3973,0.2454,26.8866,0.5067,0.7883,0.7986,3,0.7279847953216375,0.7361306358381503,clean,1.0738020795462808
bace,BACE,measured,Qwen3-235B,qwen3,Alibaba,reg,1,500,500,0.0,max_tokens:128,0.0126,0.0,500,474,474,3,20,0.2126,1.0,12.1368,1.0,0.0725,1.0,4.4245,1.0,0.0725,1.0,4.4245,1.0,0.0833,0.0364,1.8821,1.1023,102,7,0,102,7,0,0.0,hit3,0.0,R23,0.0,0.0,6.8627,0.0,0.3261,1.0,16.6853,1.0,0.2249,1.0,12.7628,1.0,0.0,0.0,0.0,0.0,0.3261,1.0,8.6227,0.7356,16.6853,1.0,0.2249,1.0,8.2807,0.7436,12.7628,1.0,1.0,1.0,2,,,clean,0.8287584382962794
bace,BACE,measured,Qwen3-235B,qwen3,Alibaba,t1024,1,500,500,0.0,max_tokens:1024,0.0157,0.0,500,474,474,3,20,0.3006,0.4413,18.3978,0.4583,0.3453,0.4813,19.2563,0.4763,0.3453,0.4813,19.2563,0.4763,0.1337,0.1556,1.7968,1.0833,102,10,2,102,11,2,0.4219,hit3,20.0,R23,0.4219,0.4,9.8039,20.0,0.2929,0.3988,14.7619,0.3308,0.2877,0.4093,17.659,0.4353,0.0,1.0549,0.0,50.0,0.2929,0.3988,8.8402,0.3528,14.7619,0.3308,0.2877,0.4093,7.2224,0.1204,17.659,0.4353,0.7131,0.7355,2,,,clean,1.3574296632698273
bace,BACE,measured,GPT-5.6 sol,sol,OpenAI,reg,1,500,500,0.0,none,0.1164,0.0,500,474,474,3,20,1.085,0.1054,26.8527,0.2004,1.4159,0.3673,29.4624,0.3048,1.4159,0.3673,29.4624,0.3048,0.4497,0.4264,1.5819,0.9831,131,23,8,131,24,8,1.6878,hit3,34.7826,R23,1.6878,1.6,17.5573,34.7826,0.6552,0.0115,28.105,0.2959,1.0575,0.081,26.2021,0.1719,0.6329,2.9536,16.0,56.5373,0.6552,0.0115,10.8092,0.014,28.105,0.2959,1.0575,0.081,15.2085,0.1854,26.2021,0.1719,0.3159,0.4958,3,0.18563525835866262,0.3401905511811023,clean,1.596028368794326
bace,BACE,measured,GPT-5.6 sol,sol,OpenAI,t1024,1,500,500,0.0,low,7.4572,957.0,500,474,474,3,20,0.7565,0.4953,46.774,0.01,0.6092,0.3338,47.1349,0.038,0.6092,0.3338,47.1349,0.038,0.5398,0.4664,2.0123,1.4171,77,4,4,77,4,4,0.8439,hit3,100.0,R23,0.8439,0.8,5.1948,100.0,0.7033,0.4398,40.8475,0.007,0.7668,0.5157,46.1587,0.0085,0.211,1.8987,100.0,100.0,0.7033,0.4398,9.9643,0.9445,40.8475,0.007,0.7668,0.5157,9.8993,0.9485,46.1587,0.0085,0.8058,0.0257,2,,,clean,0.5247643772792016
bace,BACE,measured,Claude Sonnet 5,sonnet5,Anthropic,reg,1,500,500,0.0,none,0.3131,0.0,500,474,474,3,20,0.6027,0.8546,18.7027,0.4638,0.4778,0.6637,12.4203,0.1919,0.4778,0.6637,12.4203,0.1919,0.5191,0.4993,1.208,0.8228,143,10,2,143,16,2,0.4219,hit3,20.0,R23,0.4219,0.4,6.993,20.0,0.3544,0.5177,16.4587,0.3893,0.6161,0.8671,18.9345,0.4723,0.0,1.0549,0.0,50.0,0.3544,0.5177,10.5049,0.8926,16.4587,0.3893,0.6161,0.8671,10.8228,0.984,18.9345,0.4723,1.0,0.8849,2,,,clean,0.6461359352478102
bace,BACE,measured,Claude Sonnet 5,sonnet5,Anthropic,t1024,1,500,500,0.0,max_tokens:1024,0.3207,0.0,500,474,474,3,20,0.7147,0.7156,21.8821,0.4503,0.7369,0.6742,20.8136,0.4033,0.7369,0.6742,20.8136,0.4033,0.4612,0.4621,1.3148,0.9377,120,13,3,120,18,3,0.6329,hit3,23.0769,R23,0.6329,0.6,10.8333,23.0769,0.4974,0.4223,24.0137,0.5112,0.7229,0.7326,22.1474,0.4633,0.0,1.4768,0.0,47.0728,0.4974,0.4223,10.2636,0.4023,24.0137,0.5112,0.7229,0.7326,12.9491,0.8371,22.1474,0.4633,0.9848,0.759,2,,,clean,0.8366064050783452
bace,BACE,measured,GPT-5.6 terra,terra,OpenAI,reg,1,500,500,0.0,none,0.1199,0.0,500,474,474,3,20,0.2955,1.0,10.3155,1.0,0.0851,1.0,2.8883,1.0,0.0851,1.0,2.8883,1.0,0.4345,0.3894,1.3349,0.881,130,15,0,130,15,0,0.0,hit3,0.0,R23,0.0,0.0,11.5385,0.0,0.2949,1.0,12.3638,1.0,0.3055,1.0,10.7794,1.0,0.0,0.0,0.0,0.0,0.2949,1.0,9.9996,0.2689,12.3638,1.0,0.3055,1.0,10.1817,0.2394,10.7794,1.0,1.0,1.0,3,1.0,1.0,clean,0.0
bace,BACE,measured,GPT-5.6 terra,terra,OpenAI,t1024,1,500,500,0.0,low,1.7215,1034.0,500,474,474,3,20,0.3536,0.5252,26.0388,0.4538,0.2839,0.3853,21.7108,0.3478,0.2839,0.3853,21.7108,0.3478,0.4843,0.4056,1.9853,1.4147,91,7,2,91,8,2,0.4219,hit3,28.5714,R23,0.4219,0.4,7.6923,28.5714,0.4314,0.6012,23.9901,0.3713,0.3516,0.5232,26.1768,0.4528,0.0,1.0549,0.0,66.6667,0.4314,0.6012,9.9863,0.7611,23.9901,0.3713,0.3516,0.5232,6.9742,0.3753,26.1768,0.4528,0.8089,0.7517,2,,,clean,1.1029652146482751
boilingpoint,Wikipedia boiling points,pos_control,Gemini 2.5 Pro,gem25pro,Google,reg,1,45,45,0.0,minimal,0.183,786.0,45,41,41,3,20,44.8012,0.0005,76.5291,0.022,71.6512,0.02,77.6081,0.0185,71.6512,0.02,77.6081,0.0185,1.0,0.9999,0.2124,0.02,41,39,35,41,39,35,85.3659,hit3,89.7436,R23,85.3659,77.7778,95.122,89.7436,2.3646,0.0005,46.1223,0.2839,10.9854,0.0005,40.9455,0.0005,73.1707,95.122,79.4872,97.5,2.3646,0.0005,20.5186,0.001,46.1223,0.2839,10.9854,0.0005,33.3333,0.0005,40.9455,0.0005,0.0037,0.0037,3,0.0015907172995780591,0.0015907172995780591,heavy,7.770850401441913
